Date,BBAS3,SELIC,Cambio,IPCA
2017-01-02,8.264060974121094,0.1375,3.2723,0.053539544420169616
2017-01-03,8.642154693603516,0.1375,3.2626,0.053539544420169616
2017-01-04,8.597146034240723,0.1375,3.2327,0.053539544420169616
2017-01-05,8.576143264770508,0.1375,3.2123,0.053539544420169616
2017-01-06,8.669159889221191,0.1375,3.2051,0.053539544420169616
2017-01-09,8.342081069946289,0.1375,3.2091,0.053539544420169616
2017-01-10,8.4561128616333,0.1375,3.1912,0.053539544420169616
2017-01-11,8.546134948730469,0.1375,3.2148,0.053539544420169616
2017-01-12,8.762187004089355,0.13,3.1655,0.053539544420169616
2017-01-13,8.534130096435547,0.13,3.2028,0.053539544420169616
2017-01-16,8.540133476257324,0.13,3.2228,0.053539544420169616
2017-01-17,8.678163528442383,0.13,3.2094,0.053539544420169616
2017-01-18,8.606148719787598,0.13,3.2205,0.053539544420169616
2017-01-19,8.615151405334473,0.13,3.2107,0.053539544420169616
2017-01-20,8.807198524475098,0.13,3.1912,0.053539544420169616
2017-01-23,9.206296920776367,0.13,3.1603,0.053539544420169616
2017-01-24,9.03225326538086,0.13,3.1643,0.053539544420169616
2017-01-26,9.602396965026855,0.13,3.1798,0.053539544420169616
2017-01-27,9.419351577758789,0.13,3.159,0.053539544420169616
2017-01-30,9.158287048339844,0.13,3.131,0.053539544420169616
2017-01-31,9.335329055786133,0.13,3.1264,0.053539544420169616
2017-02-01,9.380339622497559,0.13,3.1473,0.04758793351512036
2017-02-02,9.293318748474121,0.13,3.119,0.04758793351512036
2017-02-03,9.26931095123291,0.13,3.1235,0.04758793351512036
2017-02-06,9.038254737854004,0.13,3.1173,0.04758793351512036
2017-02-07,9.122276306152344,0.13,3.1298,0.04758793351512036
2017-02-08,9.21829891204834,0.13,3.1248,0.04758793351512036
2017-02-09,9.188292503356934,0.13,3.1179,0.04758793351512036
2017-02-10,9.356332778930664,0.13,3.1149,0.04758793351512036
2017-02-13,9.416352272033691,0.13,3.1169,0.04758793351512036
2017-02-14,9.446353912353516,0.13,3.0998,0.04758793351512036
2017-02-15,9.560383796691895,0.13,3.0773,0.04758793351512036
2017-02-16,9.869462966918945,0.13,3.0504,0.04758793351512036
2017-02-17,9.875463485717773,0.13,3.0944,0.04758793351512036
2017-02-20,10.034500122070312,0.13,3.0912,0.04758793351512036
2017-02-21,10.202545166015625,0.13,3.0964,0.04758793351512036
2017-02-22,10.22955322265625,0.13,3.0818,0.04758793351512036
2017-02-23,10.007498741149902,0.1225,3.0632,0.04758793351512036
2017-02-24,9.932477951049805,0.1225,3.0987,0.04758793351512036
2017-03-01,10.082514762878418,0.1225,3.097,0.04571034884885772
2017-03-02,9.988190650939941,0.1225,3.1132,0.04571034884885772
2017-03-03,10.474687576293945,0.1225,3.1358,0.04571034884885772
2017-03-06,10.558773040771484,0.1225,3.1105,0.04571034884885772
2017-03-07,10.429641723632812,0.1225,3.1179,0.04571034884885772
2017-03-08,10.183389663696289,0.1225,3.1471,0.04571034884885772
2017-03-09,10.078289031982422,0.1225,3.1729,0.04571034884885772
2017-03-10,10.117321968078613,0.1225,3.1617,0.04571034884885772
2017-03-13,10.225432395935059,0.1225,3.1535,0.04571034884885772
2017-03-14,10.205004692077637,0.1225,3.1633,0.04571034884885772
2017-03-15,10.289268493652344,0.1225,3.1623,0.04571034884885772
2017-03-16,10.150836944580078,0.1225,3.1074,0.04571034884885772
2017-03-17,9.873967170715332,0.1225,3.1069,0.04571034884885772
2017-03-20,9.855908393859863,0.1225,3.0892,0.04571034884885772
2017-03-21,9.621171951293945,0.1225,3.0759,0.04571034884885772
2017-03-22,9.94619369506836,0.1225,3.0933,0.04571034884885772
2017-03-23,9.94619369506836,0.1225,3.1242,0.04571034884885772
2017-03-24,9.991334915161133,0.1225,3.1276,0.04571034884885772
2017-03-27,10.024435997009277,0.1225,3.125,0.04571034884885772
2017-03-28,9.961238861083984,0.1225,3.1297,0.04571034884885772
2017-03-29,10.322373390197754,0.1225,3.1223,0.04571034884885772
2017-03-30,10.253155708312988,0.1225,3.1241,0.04571034884885772
2017-03-31,10.162873268127441,0.1225,3.1678,0.04571034884885772
2017-04-03,10.192963600158691,0.1225,3.1161,0.04082530895263514
2017-04-04,10.232090950012207,0.1225,3.1225,0.04082530895263514
2017-04-05,10.057543754577637,0.1225,3.0917,0.04082530895263514
2017-04-06,9.822806358337402,0.1225,3.1154,0.04082530895263514
2017-04-07,9.780675888061523,0.1225,3.1296,0.04082530895263514
2017-04-10,9.867945671081543,0.1225,3.1403,0.04082530895263514
2017-04-11,9.87697696685791,0.1225,3.1418,0.04082530895263514
2017-04-12,9.714466094970703,0.1225,3.1457,0.04082530895263514
2017-04-13,9.208880424499512,0.1125,3.1263,0.04082530895263514
2017-04-17,9.636222839355469,0.1125,3.103,0.04082530895263514
2017-04-18,9.72951602935791,0.1125,3.0952,0.04082530895263514
2017-04-19,9.374402046203613,0.1125,3.1288,0.04082530895263514
2017-04-20,9.449637413024902,0.1125,3.1447,0.04082530895263514
2017-04-24,9.720486640930176,0.1125,3.1245,0.04082530895263514
2017-04-25,9.780675888061523,0.1125,3.1571,0.04082530895263514
2017-04-26,9.66330337524414,0.1125,3.1841,0.04082530895263514
2017-04-27,9.798731803894043,0.1125,3.1757,0.04082530895263514
2017-04-28,9.886002540588379,0.1125,3.1978,0.04082530895263514
2017-05-02,10.198986053466797,0.1125,3.1718,0.035971291337952405
2017-05-03,10.16588020324707,0.1125,3.1483,0.035971291337952405
